Stock Guide,Setor,Ticker,Rating,Market Cap (R$ mn),Volume Negociado (R$ mn) Semana,Volume Negociado (R$ mn) Média (12M),Volume Negociado (R$ mn) % da Média,Preço (R$) Último,Preço (R$) Alvo,Preço (R$) Upside (%),Performance (%) Semana,Performance (%) Mês,Performance (%) Ano,P/L 2025E,P/L 2026E,EV/EBITDA 2025E,EV/EBITDA 2026E,P/VP 2025E,P/VP 2026E,Dividend Yield (%) 2025E,Dividend Yield (%) 2026E,Dívida Líquida/EBITDA 2025E,Dívida Líquida/EBITDA 2026E,Roe (%) 2025E,Roe (%) 2026E,Lucro líquido (R$mn) 2025E,Lucro líquido (R$mn) 2026E,Lucro líquido (R$mn) 2027E,ROE 2025E,ROE 2026E,ROE 2027E,Dividend Yield (%) 2025E (extra),Dividend Yield (%) 2026E (extra),Dividend Yield (%) 2027E,4. Dados fundamentalistas (12M) EPS,4.Dados fundamentalistas (12M) LPA,Dívida líquida 2025E,Dívida líquida 2026E,Dívida líquida 2027E,Dívida Líquida/EBITDA 2025E (extra),Dívida Líquida/EBITDA 2026E (extra),Dívida Líquida/EBITDA 2027E,5.Destaques financeiros (R$ mn) Receita,5.Destaques financeiros (R$ mn) Lucro Bruto,5.Destaques financeiros (R$ mn) Mg. Bruta (%),5.Destaques financeiros (R$ mn) EBITDA,5.Destaques financeiros (R$ mn) Mg. EBITDA (%),5.Destaques financeiros (R$ mn) LAIR,5.Destaques financeiros (R$ mn) Lucro Líquido,5.Destaques financeiros (R$ mn) Mg. Líquida (%),5.Destaques financeiros (R$ mn) ROE,5.Destaques financeiros (R$ mn) Mg. LAIR (%)
Casas Bahia,Varejo,BHIA3,Neutral,2026.9753,7.944621,25.467374488,0.3119528871632776,3.1,3,-0.032258064516129115,-0.0064102564102,-0.015873015874,-0.015873015874,n.a.,3.452860616129597,4.062274553767614,3.9036463477892425,0.17364514773841197,0.16533068804232465,0,0,3.959177251989208,3.806123070859432,-0.08658189999999999,0.049056699999999995,,,,,,,0.0,0.0,,,,11343.62860239619,11528.39621074713,,3.959177251989208,3.806123070859432,,,,,,,,,,,
Grupo Sbf,Varejo,SBFG3,Buy,2901.3479838,20.23768,23.334146692,0.867298910353486,12.6,16,0.26984126984126977,-0.022498060512,-0.027777777777,-0.027777777777,6.2081143833811,5.05397976462095,4.11880994416942,3.51604709146109,0.870261907393082,0.7653014741164108,0.03226551403968254,0.04026987657936508,1.6713717037943607,1.2575284210731572,0.148505,0.161143,,,,,,,0.03226551403968254,0.04026987657936508,0.04946596773809523,,,2104.0512049125937,1715.4936902890486,1332.5111543893622,1.6713717037943607,1.2575284210731572,0.911392147669068,,,,,,,,,,
Lojas Renner,Varejo,LREN3,Buy,13216.32246,191.000915,247.14162082,0.7728399383570895,13.38,22,0.6442451420029895,-0.019780219779,-0.0052044609656,-0.0052044609656,8.265083854727,6.9652476216427,4.5564417821403,4.0784990314828,1.2213155156361244,1.123888081578483,0.06354260494020926,0.07259454478325858,0.5382263692718384,0.47188005816841533,0.15314,0.16805900000000001,,,,,,,0.06354260494020926,0.07259454478325858,0.08614194822869954,,,1902.9214097231807,1858.7477571262386,1786.6913494987364,0.5382263692718384,0.47188005816841533,0.4105969692914443,,,,,,,,,,
Pão de Açucar,Varejo,PCAR3,Neutral,1941.31872,45.199494,42.657318952,1.0595952842432639,3.96,4,0.010101010101010166,0.1,0.042105263157,0.042105263157,n.a.,19.17839114784699,4.327713318793724,3.862571236552674,0.41080755844411826,0.3986987921238866,0,0,3.315276004503886,2.9136861222412698,-0.027934999999999998,0.021099899999999998,,,,,,,0.0,0.0,,,,6370.040778347936,5973.375235362828,,3.315276004503886,2.9136861222412698,,,,,,,,,,,
Raia Drogasil,Varejo,RADL3,Buy,41392.681633,156.430451,206.93831149,0.7559279375272147,23.69,24,0.013085690164626351,0.028211805555,0.010234541578,0.010234541578,24.7180813030383,19.7843671578534,9.174949614682,7.9179046630667,5.088244201356149,4.508482188735837,0.014104271287463064,0.0157225198691431,1.5793601717410952,1.4015294184670464,0.217019,0.241648,,,,,,,0.014104271287463064,0.0157225198691431,0.017744318176445756,,,8480.495271598054,8771.980341963159,8490.403833603517,1.5793601717410952,1.4015294184670464,1.186525231031034,,,,,,,,,,
Lojas Marisa,Varejo,AMAR3,Neutral,518.56341827,0.069593,0.372997748,0.18657753397481638,1.01,2,0.9801980198019802,0.01,0,0,1.747768258688162,1.238107748661689,2.931832939232227,2.360870732606348,n.a.,n.a.,0.0884769195049505,0.14303955841584157,2.359142973870689,1.8228458458270143,n.a.,n.a.,,,,,,,0.0884769195049505,0.14303955841584157,,,,1429.4295775835594,1175.6435190434504,,2.359142973870689,1.8228458458270143,,,,,,,,,,,
C&A,Varejo,CEAB3,Buy,3759.1668849,95.197217,64.727832612,1.470730799386464,12.41,23,0.8533440773569703,-0.02206461781,-0.027429467084,-0.027429467084,7.06527496803585,5.94116812770579,2.79188917157585,2.428496311332,0.8848484848484848,0.770147327135747,0,0,0.8343695939488245,0.7035601605917472,0.133605,0.138613,,,,,,,0.0,0.0,0.0,,,1633.9238041863443,1563.5351901294553,1463.4134927224352,0.8343695939488245,0.7035601605917472,0.5822383346761815,,,,,,,,,,
Positivo Tec,Varejo,POSI3,Buy,572.15721,8.497853,4.643039588,1.830234879315442,4.11,13,2.16301703163017,0.017326732674,0.0275,0.0275,1.05570619521825,0.8571548650032,0.484825261507084,n.a.,0.21410375957866878,0.17855668849026193,0.19975716790754258,0.23680831004866182,-0.2536123957817282,-0.7867078666902301,0.220446,0.22717199999999999,,,,,,,0.19975716790754258,0.23680831004866182,,,,-200.57935045949088,-680.6945606204027,,-0.2536123957817282,-0.7867078666902301,,,,,,,,,,,
Azzas 2154,Varejo,AZZA3,Buy,5121.5192217,61.394466,79.8570861,0.7688042351447631,25.39,53,1.0874359984245765,0.038021259199,0.0091414944363,0.0091414944363,5.61102293223322,4.38390530232006,2.68617551555121,2.13210060220901,0.5630273530618354,0.5079818575049867,0.03996815006301693,0.0356441245057109,0.5591681505124133,0.2792221852770255,0.104407,0.12183,,,,,,,0.03996815006301693,0.0356441245057109,0.0456214234147302,,,1381.1673131344262,791.7277332830026,93.29233477320713,0.5591681505124133,0.2792221852770255,0.028646477136493875,,,,,,,,,,
Dimed,Varejo,PNVL3,Buy,1807.5024517,10.944381,3.466045068,3.157599161373628,12.11,13,0.07349298100743185,0.033276450511,0.010008340283,0.010008340283,11.34072393766427,9.0700324059856,5.69539138596897,4.7792535446829,1.28672642347431,1.1631816042493108,0.024551771023947146,0.025988208546655654,0.6976075164914227,0.48022641819572626,0.11818,0.134711,,,,,,,0.024551771023947146,0.025988208546655654,0.03256109403798513,,,254.72534320875556,203.8517002236705,154.67116467836303,0.6976075164914227,0.48022641819572626,0.32432482339352303,,,,,,,,,,
